Total sections: 396

Text/Contents.xhtml:   目　录 第一卷 第二版出版说明 本书出版的说明 第一次国内革命战争时期 中国社会各阶级的分析 湖南农民运动考察报告 
Text/Section0614.xhtml:   镇压反革命必须 打得稳，打得准，打得狠 * （一九五O年十二月——一九五一年九月） 一 对镇压反革命分子，请注意打得
Text/Section0615.xhtml:   应当重视电影《武训传》的讨论 * （一九五一年五月二十日） 《武训传》所提出的问题带有根本的性质。像武训那样的人，处
Text/Section0616.xhtml:   三大运动的伟大胜利 * （一九五一年十月二十三日） 各位委员、各位同志们： 我们的人民政治协商会议第一届全国委员会第
Text/Section0617.xhtml:   关于“三反”“五反”的斗争 * （一九五一年十一月——一九五二年三月） 一 反贪污、反浪费一事，实是全党一件大事，我
Text/Section0618.xhtml:   把农业互助合作 当作一件大事去做 * （一九五一年十二月十五日） 兹将关于农业生产互助合作的决议草案一件发给你们，请
Text/Section0619.xhtml:   元旦祝词 （一九五二年一月一日） 祝我们全体——人民政府的工作人员，人民志愿军和人民解放军的指挥员、战斗员，各民主党
Text/Section0620.xhtml:   中共中央 关于西藏工作方针的指示 * （一九五二年四月六日） 我们基本上同意西南局、西南军区四月二日给西藏工委和西藏
Text/Section0621.xhtml:   工人阶级与资产阶级的矛盾 是国内的主要矛盾 * （一九五二年六月六日） 在打倒地主阶级和官僚资产阶级以后，中国内部的
Text/Section0622.xhtml:   团结起来，划清敌我界限 * （一九五二年八月四日） 去年这一年，我们是边打，边谈，边稳。 朝鲜战争的局势，去年七月以
Text/Section0623.xhtml:   祝贺中国人民志愿军的 重大胜利 * （一九五二年十月二十四日） 我志愿军协同人民军从九月十八日开始对全线敌军的战术性
Text/Section0624.xhtml:   反对官僚主义、 命令主义和违法乱纪 * （一九五三年一月五日） 反对官僚主义、反对命令主义、反对违法乱纪这件事，应当
Text/Section0625.xhtml:   批判大汉族主义 * （一九五三年三月十六日） 有些地方民族关系很不正常。此种情形，对于共产党人说来，是不能容忍的。必
Text/Section0626.xhtml:   解决“五多”问题 * （一九五三年三月十九日） （一）我们党政组织在农村工作中存在一些严重地脱离农民群众、损害农民及
Text/Section0627.xhtml:   对刘少奇、杨尚昆破坏纪律擅自 以中央名义发出文件的批评 * （一九五三年五月十九日） 一 嗣后，凡用中央名义发出的文
Text/Section0628.xhtml:   批判离开总路线的右倾观点 * （一九五三年六月十五日） 党在过渡时期 〔1〕 总路线和总任务，是要在十年到十五年或者
Text/Section0629.xhtml:   青年团的工作 要照顾青年的特点 * （一九五三年六月三十日） 青年团对党闹独立性的问题早已过去了。现在的问题是缺乏团
Text/Section0630.xhtml:   关于国家资本主义 * （一九五三年七月九日） 中国现在的资本主义经济其绝大部分是在人民政府管理之下的，用各种形式和国
Text/Section0631.xhtml:   党在过渡时期的总路线 * （一九五三年八月） 从中华人民共和国成立，到社会主义改造基本完成，这是一个过渡时期。党在这
Text/Section0632.xhtml:   反对党内的资产阶级思想 * （一九五三年八月十二日） 这次会议开得很好，周总理的结论也作得好。 现在我们可以看出，在
Text/Section0633.xhtml:   改造资本主义工商业的 必经之路 * （一九五三年九月七日） 经过国家资本主义，完成由资本主义到社会主义的改造。 （1
Text/Section0634.xhtml:   抗美援朝的伟大胜利 和今后的任务 * （一九五三年九月十二日） 抗美援朝，经过三年，取得了伟大胜利，现在已经告一个段
Text/Section0635.xhtml:   批判梁漱溟的反动思想 * （一九五三年九月十六日——十八日） （一）梁漱溟先生是不是“有骨气的人”？他在和平谈判中演
Text/Section0636.xhtml:   关于农业互助合作的两次谈话 * （一九五三年十月、十一月） 一　十月十五日的谈话 办好农业生产合作社，即可带动互助组
Text/Section0637.xhtml:   关于中华人民共和国宪法草案 * （一九五四年六月十四日） 这个宪法草案，看样子是得人心的。宪法草案的初稿，在北京五百
Text/Section0638.xhtml:   为建设一个伟大的 社会主义国家而奋斗 * （一九五四年九月十五日） 各位代表! 中华人民共和国第一届全国人民代表大会
Text/Section0639.xhtml:   关于《红楼梦》研究问题的信 * （一九五四年十月十六日） 驳俞平伯的两篇文章付上，请一阅。这是三十多年以来向所谓《红
Text/Section0640.xhtml:   原子弹吓不倒中国人民 * （一九五五年一月二十八日） 中国和芬兰是友好的国家。我们的关系，是建立在和平共处五项原则的
Text/Section0641.xhtml:   在中国共产党 全国代表会议上的讲话 （一九五五年三月） 开幕词 （一九五五年三月二十一日） 中国共产党全国代表会议各
Text/Section0642.xhtml:   驳“舆论一律” * （一九五五年五月二十四日） 胡风所谓“舆论一律”，是指不许反革命分子发表反革命意见。这是确实的，
Text/Section0643.xhtml:   《关于胡风反革命集团的材料》的 序言和按语 （一九五五年五月、六月） 序言 （一九五五年六月十五日） 为应广大读者的
Text/Section0644.xhtml:   关于农业合作化问题 * （一九五五年七月三十一日） 一 在全国农村中，新的社会主义群众运动的高潮就要到来。我们的某些
Text/Section0645.xhtml:   农业合作化必须依靠 党团员和贫农下中农 * （一九五五年九月七日） 关于“依靠贫农（包括全部原为贫农的新中农在内）巩
Text/Section0646.xhtml:   农业合作化的一场辩论 和当前的阶级斗争 * （一九五五年十月十一日） 我们这次会议，是一场很大的辩论。这是在由资本主
Text/Section0647.xhtml:   《中国农村的社会主义高潮》 的序言 （一九五五年九月、十二月） 序言一 （一九五五年九月二十五日） 在从资本主义到社
Text/Section0648.xhtml:   《中国农村的社会主义高潮》 的按语 * （一九五五年九月、十二月） 一 这篇文章写得很好，值得作为本书的第一篇向读者
Text/Section0649.xhtml:   征询对农业十七条的意见 * （一九五五年十二月二十一日） 今年十一月间毛泽东同志在杭州和天津分别同十四个省委书记和内
Text/Section0650.xhtml:   加快手工业的社会主义改造 * （一九五六年三月四日） （一）个体手工业社会主义改造的速度，我觉得慢了一点。今年一月省
Text/Section0651.xhtml:   论十大关系 * （一九五六年四月二十五日） 最近几个月，中央政治局听了中央工业、农业、运输业、商业、财政等三十四个部
Text/Section0652.xhtml:   美帝国主义是纸老虎 * （一九五六年七月十四日） 美国到处打着反共的招牌，为着达到侵略别人的目的。 美国到处欠账。欠
Text/Section0653.xhtml:   增强党的团结，继承党的传统 * （一九五六年八月三十日） 今天开第八次全国代表大会的预备会议。预备会议要开十几天，要
Text/Section0654.xhtml:   我们党的—些历史经验 * （一九五六年九月二十五日） 美帝国主义是你们的对头，也是我们的对头，也是全世界人民的对头。
Text/Section0655.xhtml:   纪念孙中山先生 * （一九五六年十一月十二日） 纪念伟大的革命先行者孙中山先生! 纪念他在中国民主革命准备时期，以鲜
Text/Section0656.xhtml:   在中国共产党第八届中央委员会 第二次全体会议上的讲话 （一九五六年十一月十五日） 我讲四个问题；经济问题，国际形势问
Text/Section0657.xhtml:   在省市自治区党委书记 会议上的讲话 （一九五七年一月） 一　一月十八日的讲话 这次会议，要讨论的问题主要是三个：思想
Text/Section0658.xhtml:   关于正确处理 人民内部矛盾的问题 * （一九五七年二月二十七日） 关于正确处理人民内部矛盾的问题，这是一个总题目。为
Text/Section0659.xhtml:   在中国共产党全国宣传 工作会议上的讲话 （一九五七年三月十二日） 各位同志！这次会议开得很好。会议中间提出了很多问题
Text/Section0660.xhtml:   坚持艰苦奋斗，密切联系群众 * （一九五七年三月） 一 我们党现在准备开展一次整风运动。整风是用批评和自我批评解决党
Text/Section0661.xhtml:   事情正在起变化 * （一九五七年五月十五日） 对立面的统一和斗争，是社会生活中普遍存在的。斗争的结果，走向自己的反面
Text/Section0662.xhtml:   中国共产党是 全中国人民的领导核心 * （一九五七年五月二十五日） 你们的会议开得很好。希望你们团结起来，作为全国青
Text/Section0663.xhtml:   组织力量 反击右派分子的猖狂进攻 * （一九五七年六月八日） 省市级机关和高等学校大鸣大放的时间，大约十五天左右即足
Text/Section0664.xhtml:   文汇报的资产阶级方向 应当批判 * （一九五七年七月一日） 自本报编辑部六月十四日发表《文汇报在一个时间内的资产阶级
Text/Section0665.xhtml:   打退资产阶级右派的进攻 * （一九五七年七月九日） 三月间，我在这个地方同党内的一些干部讲过一次话。从那个时候到现在
Text/Section0666.xhtml:   一九五七年夏季的形势 * （一九五七年七月） 在我国社会主义革命时期，反共反人民反社会主义的资产阶级右派和人民的矛盾
Text/Section0667.xhtml:   做革命的促进派 * （一九五七年十月九日） 这次会议开得很好。这样扩大的中央全会，有省委和地委的同志参加，实际是三级
Text/Section0668.xhtml:   坚定地相信群众的大多数 * （一九五七年十月十三日） 现在整风找出了一种形式，就是大鸣，大放，大辩论，大字报。这是群
Text/Section0669.xhtml:   党内团结的辩证方法 * （一九五七年十一月十八日） 在团结问题上我想讲一点方法问题。我说对同志不管他是什么人，只要不
Text/Section0670.xhtml:   一切反动派都是纸老虎 （一九五七年十一月十八日） 一九四六年蒋介石开始向我们进攻的时候，我们许多同志一全国人民，都很
Text/Section0701.xhtml:   关于中国人民志愿军 撤出朝鲜问题 * （一九五八年一月二十四日） 金日成 〔1〕 首相同志： 一九五七年十二月十六日
Text/Section0702.xhtml:   工作方法六十条（草案） * （一九五八年一月） 我国人民，在共产党领导下，一九五六年在社会主义所有制方面取得了基本的
Text/Section0703.xhtml:   在成都会议 〔1〕 上的讲话 * （一九五八年三月二十日） 我讲四个问题： 一、改良农具的群众运动，应该推广到一切地
Text/Section0704.xhtml:   干部要以普通劳动者的 姿态出现 * （一九五八年五月二十日、二十三日） （一）讲一讲以普通劳动者的姿态出现的问题。这
Text/Section0705.xhtml:   要搞一点原子弹氢弹 * （一九五八年六月二十一日） 我还是希望搞一点海军，空军搞得强一点。还有那个原子弹，听说就这么
Text/Section0706.xhtml:   西藏要准备对付 那里的可能的全局叛乱 * （一九五八年六月二十四日） 此件 〔1〕 请克诚 〔2〕 同志印发军委会议
Text/Section0707.xhtml:   介绍一封信 〔1〕 * （一九五八年七月三日、三十日） 一 广东省委书记赵紫阳同志最近率领北路检查团到从化县，经四天
Text/Section0708.xhtml:   同苏联驻华大使尤金的谈话 〔1〕 * （一九五八年七月二十二日） 昨天你们走了以后，我一直睡不着，也没有吃饭。今天请
Text/Section0709.xhtml:   关于国际形势问题 〔1〕 * （一九五八年九月五日、八日） 一 国际形势，我们历来有个观点，总是乐观的。后来总结为一
Text/Section0710.xhtml:   中华人民共和国国防部 告台湾同胞书 * （一九五八年十月六日） 台湾、澎湖、金门、马祖军民同胞们： 我们都是中国人。
Text/Section0711.xhtml:   中华人民共和国国防部命令 * （一九五八年十月十三日） 福建前线人民解放军同志们： 金门炮击，从本日起，再停两星期，
Text/Section0712.xhtml:   中华人民共和国国防部 再告台湾同胞书 * （一九五八年十月二十五日） 台湾、澎湖、金门、马祖军民同胞们： 我们完全明
Text/Section0713.xhtml:   关于社会主义商品生产问题 〔1〕 * （一九五八年十一月九日、十日） 一 许多人避而不谈商品和商业问题，好像不如此就
Text/Section0714.xhtml:   记者头脑要冷静 * （一九五八年十一月二十一日） 做报纸工作的，做记者工作的，对遇到的问题要有分析，要有正确的看法、
Text/Section0715.xhtml:   在武昌会议上的讲话 * （一九五八年十一月二十一日、二十三日） 一、十一月二十一日的讲话 ——死了人不能杀我的头 睡
Text/Section0716.xhtml:   关于帝国主义和一切反动派 是不是真老虎的问题 * （一九五八年十二月一日） 这里我想回答帝国主义及一切反动派是不是真
Text/Section0717.xhtml:   在八届六中全会上的讲话 （一九五八年十二月九日） 讲些意见，不是结论，决议就是这次会议的结论。 一、人民公社的出现，
Text/Section0718.xhtml:   马列主义基本原理至今未变， 个别结论可以改变 * （一九五九年二月十四日） 马特：我有些理论问题不清楚，想在这里提一
Text/Section0719.xhtml:   在第二次郑州会议上的讲话 * （一九五九年二月二十七日、二十八日、三月一日、三月五日） 一、二月二十七日的讲话 ——
Text/Section0720.xhtml:   党内通信 ——建议召开县五级干部大会 * （一九五九年三月十七日） 各省、市、区党委第一书记同志们： 关于县和公社的
Text/Section0721.xhtml:   关于西藏平叛 〔1〕 * （一九五九年四月十五日） 有些人对于西藏寄予同情，但是他们只同情少数人，不同情多数人，一百
Text/Section0722.xhtml:   党内通信 ——致六级干部的公开信 * （一九五九年四月二十九日） 省级、地级、县级、社级、队级、小队级的同志们： 我
Text/Section0723.xhtml:   关于西藏问题和台湾问题 * （一九五九年五月十日） 我们有两个问题没有解决，西藏问题和台湾问题。现在开始解决西藏问题
Text/Section0724.xhtml:   经济建设是科学， 要老老实实学习 * （一九五九年六月十一日） 中国是个经济不发达的国家，工农业水平不高，有许多人是
Text/Section0725.xhtml:   要政治家办报 * （一九五九年六月十三日） 现在名气很糟。去年大出风头，今年不好，说我们是纸老虎，不讲信用。 这很好
Text/Section0726.xhtml:   如实公开报道灾情 * 一、如实公开报道灾情 （一九五九年六月二十日） 乔木、冷西 〔1〕 同志： 广东大雨，要如实公
Text/Section0727.xhtml:   庐山会议 〔1〕 讨论的十八个问题 * （一九五九年六月二十九日、七月二日） 一、读书。有鉴于去年许多领导同志，县、
Text/Section0728.xhtml:   在庐山会议上的 多次讲话、批语 （一九五九年七月十日、二十三日、二十六日、八月二日、十六日） 一、七月十日讲话 ——
Text/Section0729.xhtml:   对彭德怀九月九日信 〔1〕 的批示 * （一九五九年九月九日） 此件即发各级党组织，从中央到支部，印发在北京开会的军
Text/Section0730.xhtml:   争取比较长的和平时间 是可能的 * （一九五九年十月十八日） 整个国际形势是在好转。西方的高压政策、实力地位政策，或
Text/Section0731.xhtml:   同澳共总书记夏基的谈话 （一九五九年十月二十六日） 你写的材料提出了如何过渡到社会主义的问题，说是同意中国同志对这个
Text/Section0732.xhtml:   读苏联《政治经济学教科书》 的谈话 〔1〕 （一九五九年十二月——一九六〇年二月） 一、关于世界观和方法论 人们的主
Text/Section0733.xhtml:   坚决制止重刮“共产风” 等违法乱纪行为 * （一九六〇年三月二十三日） 各省、市、自治区党委，中央一级各部委、各党组
Text/Section0734.xhtml:   同蒙哥马利的谈话 （一九六〇年五月二十七日） 蒙哥马利（简称蒙）：我来到中国发现西方对中国的看法完全错误，他们以为中
Text/Section0735.xhtml:   十年总结 * （一九六〇年六月十八日） 前八年照抄外国的经验。但从一九五六年提出十大关系起，开始找到自己的一条适合中
Text/Section0736.xhtml:   同斯诺 〔1〕 的谈话 ——中国人的精神面貌改变了 * （一九六〇年十月二十二日） 毛泽东：你是哪一年离开延安的？ 
Text/Section0737.xhtml:   彻底纠正“五风” * （一九六〇年十一月十五日） 各中央局，各省委、市委、自治区党委： 发去湖北省委王任重同志报告 
Text/Section0738.xhtml:   永远不许一平二调 〔1〕 * （一九六〇年十一月二十八日） 各中央局，各省、市、区党委： 发去甘肃省委一九六〇年十一
Text/Section0739.xhtml:   坚决退赔，刹住“共产风” * （一九六〇年十二月三十日） 退赔问题很重要，一定要认真退赔。大多数都要由各地自己退赔，
Text/Section0740.xhtml:   大兴调查研究之风 * （一九六一年一月十三日） 这一次中央工作会议，开得比过去几次都要好一些，大家的头脑比较清醒一些
Text/Section0741.xhtml:   要做系统的 由历史到现状的调查研究 * （一九六一年三月十三日） 这次会议要解决两个很重要的问题：一是生产队与生产队
Text/Section0742.xhtml:   总结经验，教育干部 * （一九六一年六月十二日） 两次郑州会议 〔1〕 开得仓促。我那时对中国社会主义如何搞还不甚懂
Text/Section0743.xhtml:   中国在联合国 只能有一个代表 * （一九六一年六月十三日） 毛泽东主席（以下简称毛）：上一次总统来的时候，我曾经说过
Text/Section0744.xhtml:   在七千人大会上的讲话 ——关于党的民主集中制 * （一九六二年一月三十日） 同志们，我现在讲几点意见。（热烈鼓掌）一
Text/Section0745.xhtml:   在北戴河中央工作会议 中心小组会上的讲话 （一九六二年八月九日） 今天单讲共产党垮得了垮不了的问题。共产党垮了谁来？
Text/Section0746.xhtml:   在八届十中全会上的讲话 * （一九六二年九月二十四日） 现在是十点钟，开会。 这次中央全会解决了几个重大问题。一是农
Text/Section0747.xhtml:   干部参加劳动的伟大意义 * （一九六三年五月九日） 浙江省这七个材料 〔1〕 ，都是很好的。文字也不难看，建议发到各
Text/Section0748.xhtml:   人的正确思想是从哪里来的？ * （一九六三年五月二十日） 人的正确思想是从哪里来的？是从天上掉下来的吗？不是。是自己
Text/Section0749.xhtml:   论反对官僚主义 * （一九六三年五月二十九日） 我们这些机关高高在上，官僚主义是容易犯的弊病，有了官僚主义，必然对上
Text/Section0750.xhtml:   支持美国黑人 反对种族歧视斗争的声明 * （一九六三年八月八日） 现在在古巴避难的一位美国黑人领袖、美国全国有色人种
Text/Section0751.xhtml:   受压迫的人民总是要起来的 * （一九六三年八月九日） 毛泽东：见到你们很高兴。昨天我见了一批非洲朋友。我们和你们谈得
Text/Section0752.xhtml:   革命和建设都要靠自己 * （一九六三年九月三日） 我们困难的时间只有两年半，就是一九六〇年、一九六一年和一九六二年上
Text/Section0753.xhtml:   关于文艺工作的批示 * （一九六三年十二月十二日） 一 彭真、刘仁 〔1〕 同志： 此件 〔2〕 可一看，各种艺术形
Text/Section0754.xhtml:   加强相互学习， 克服固步自封、骄傲自满 * （一九六三年十二月十三日） 各中央局，各省、市、区党委，军委，中央各人民
Text/Section0755.xhtml:   不搞科学技术， 生产力无法提高 * （一九六三年十二月十六日） 社会科学也要有一个十年规划。社会科学落后了，这回没有
Text/Section0756.xhtml:   我国还可能要走一段 资本主义复辟的道路 * （一九六四年一月） 如果我们和我们的后代不能时刻提高警惕，不能逐步提高人
Text/Section0757.xhtml:   中法之间有共同点 * （一九六四年一月三十日） 欢迎你们。我们做个朋友，做个好朋友。你们不是共产党，我也不是你们的党
Text/Section0758.xhtml:   关于教育革命的谈话 * （一九六四年二月十三日、一九六五年十二月二十一日） 我早就说过，我们的教育方针，应该使受教育
Text/Section0759.xhtml:   以农业为基础，以工业为主导 * （一九六四年六月六日、六月八日、六月十六日） 一、六月六日的讲话 ——以农业为基础，
Text/Section0760.xhtml:   支持被压迫人民 反对帝国主义的战争 * （一九六四年六月二十三日） 打仗对我们没有好处。我们要进行建设，打仗就会把我
Text/Section0761.xhtml:   和王海蓉 〔1〕 同志的谈话 * （一九六四年六月二十四日） 王：我们学校的阶级斗争很尖锐，听说发现了反动标语，都有
Text/Section0762.xhtml:   哪里有压迫哪里就有反抗 * （一九六四年七月九日） 亚非拉人民斗争的前途，这是大家关心的问题。如果要看前途，一定要看
Text/Section0763.xhtml:   接见日本社会党人士的谈话 * （一九六四年七月十日） 毛泽东主席：欢迎朋友们。对日本朋友，十分欢迎。我们两国人民应当
Text/Section0764.xhtml:   关于九评苏共中央的公开信的节录 * （一九六三年、一九六四年） 一、关于斯大林问题 ——二评苏共中央的公开信 （一九
Text/Section0765.xhtml:   中华人民共和国政府声明 * （一九六四年十月十六日） 一九六四年十月十六日十五时，中国爆炸了一颗原子弹，成功地进行了
Text/Section0766.xhtml:   打破核垄断，消灭核武器 * （一九六四年十月二十二日） 我国成功地爆炸了第一颗原子弹以后，在全世界引起了巨大的反响。
Text/Section0767.xhtml:   中国的大跃进 * （一九六三年九月、一九六四年十二月） 一 〔1〕 我国从十九世纪四十年代起，到二十世纪四十年代中期
Text/Section0768.xhtml:   同斯诺 〔1〕 的谈话 ——关于越南战争 * （一九六五年一月九日） 斯诺：我来这里见主席之前曾看了主席的军事著作，
Text/Section0769.xhtml:   官僚主义者阶级是革命对象 * （一九六五年一月二十九日） 管理也是社教。如果管理人员不到车间小组搞三同，拜老师学一门
Text/Section0770.xhtml:   我们希望阿拉伯国家 团结起来 * （一九六五年三月二十三日） 亚洲所有的革命者和政党应当团结起来，反对帝国主义。一两
Text/Section0771.xhtml:   把医疗卫生工作的重点 放到农村去 * （一九六五年六月二十六日） 告诉卫生部，卫生部的工作只给全国人口的百分之十五工
Text/Section0772.xhtml:   人民给政府饭吃， 吃了饭就要为人民服务 * （一九六五年八月八日） 毛泽东主席：你们是从几内亚来的？ 贡代·塞杜 〔
Text/Section0773.xhtml:   胜利的信念 是从斗争中得来的 * （一九六五年十月二十日） 你们的仗打得很好，南方和北方都打得很好。全世界人民都支持
Text/Section0774.xhtml:   突出政治，反对折衷主义 * （一九六五年十二月二日） 我认为这是突出政治和反对突出政治的斗争深入发展到一个新的阶段。
Text/Section0775.xhtml:   上面要靠党的领导， 下面要靠广大群众 * （一九六五年十二月二十一日） 今后的几十年对祖国的前途和人类的命运是多宝贵
Text/Section0801.xhtml:   关于农业机械化 ——备战备荒为人民 * （一九六六年三月十二日） 少奇同志： 三月十一日信 〔1〕 收到。小计委 〔
Text/Section0802.xhtml:   在中央政治局 常委扩大会议上的讲话 * （一九六六年三月二十日） （一）关于不参加苏共二十三大 苏联二十三大我们不参
Text/Section0803.xhtml:   对中宣部和北京市委的批评 * （一九六六年三月、四月） （一）一九六六年三月十七日到二十日的谈话 我们在解放以后，对
Text/Section0804.xhtml:   学校一律要实行半工半读 * （一九六六年四月十四日） 一切学校和学科（小学、中学、大学、军事学校、医学院校、文艺院校
Text/Section0805.xhtml:   部队文艺工作座谈会纪要 * （一九六六年四月十日） 一、十六年来，文化战线上存在着尖锐的阶级斗争。事实上，在我国革命
Text/Section0806.xhtml:   为什么要搞文化大革命 * （一九六六年五月五日） 事物的发展是不以人的意志为转移的。马克思、恩格斯就没有料到手创的社
Text/Section0807.xhtml:   各行各业均应一业为主 兼学别样——五·七指示 * （一九六六年五月七日） 林彪 〔1〕 同志： 你在五月六日寄来总后
Text/Section0808.xhtml:   中国共产党中央委员会通知 ——五·一六通知 * （一九六六年五月十六日） 各中央局，各省、市、自治区党委，中央各部委
Text/Section0809.xhtml:   同胡志明的谈话—— 不搞清官贪官，搞文化大革命 * （一九六六年六月十日） （一） 毛泽东：一切事物都是一分为二，对
Text/Section0810.xhtml:   给江青的信 * （一九六六年七月八日） 江青 〔1〕 ： 六月廿九日的信收到。你还是照魏、陈二同志 〔2〕 的意见在
Text/Section0811.xhtml:   凡是镇压学生运动的人， 都没有好下场 * （一九六六年七月十九月） 五月二十五日聂元梓大字报 〔1〕 是二十世纪六十
Text/Section0812.xhtml:   工作组要撤， 文化革命要依靠革命师生 * （一九六六年七月二十四日） 开两个会，一个是大区书记参加的中央工作会，另一
Text/Section0813.xhtml:   给清华大学附属中学 红卫兵的信 * （一九六六年八月一日） 清华大学附属中学红卫兵同志们： 你们在七月二十八日寄给我
Text/Section0814.xhtml:   不许镇压学生运动 * （一九六六年八月四日） 在前清时代，以后是北洋军阀，后来是国民党，都是镇压学生运动的。现在到共
Text/Section0815.xhtml:   炮打司令部—— 我的一张大字报 * （一九六六年八月五日） 全国第一张马列主义大字报和人民日报评论员的评论 〔1〕 
Text/Section0816.xhtml:   中国共产党中央委员会 关于无产阶级文化大革命的决定 * （一九六六年八月八日） 一、社会主义革命的新阶段 当前开展的
Text/Section0817.xhtml:   在中共八届十一中全会 闭幕会上的讲话 * （一九六六年八月十二日） 关于第九次大会的问题，恐怕要准备一下。第九次大会
Text/Section0818.xhtml:   对四位外国专家的 大字报的批语 * （一九六六年九月八日） 林彪、总理、陈毅、陶铸、伯达 〔1〕 五同志： 我同意这
Text/Section0819.xhtml:   驻外机关也要革命化 * （一九六六年九月九日） 退陈毅 〔1〕 同志： 这个批评文件 〔2〕 写得很好，值得一切驻外
Text/Section0820.xhtml:   在中央工作会议上的讲话 * （一九六六年十月二十四日、二十五日） （一）十月二十四日的讲话 你们有什么可怕的呢？你们
Text/Section0821.xhtml:   斗争要文明些， 坚持文斗，不用武斗 * （一九六六年十二月二十七日） （一）一九六六年十二月二十七日的信 恩来 〔1
Text/Section0822.xhtml:   对刘少奇到学校 做公开检查的批示 * （一九六七年一月六日） 总理： 此件请你酌处。我看还是不宜去讲。请你向学生方面
Text/Section0823.xhtml:   对《文汇报》、《解放日报》 夺权事件的谈话 * （一九六七年一月八日） 《文汇报》现在左派夺了权，四号造了反，《解放
Text/Section0824.xhtml:   论夺权 * （一九六七年一月） （一）在中共中央政治局常委扩大会议上的讲话摘要 （一九六七年一月十六日） 我们的干部
Text/Section0825.xhtml:   人民解放军应该支持 左派广大群众 * （一九六七年一月二十一日） 林彪 〔2〕 同志： 应派军队支持左派广大群众 〔
Text/Section0826.xhtml:   接见卡博和巴卢库时的谈话 * （一九六七年二月三日） 毛泽东：什么时候谢胡 〔1〕 同志到中国来的呀？ 周恩来：去年
Text/Section0827.xhtml:   对上海文化大革命的指示 * （一九六七年二月十二日、十八日） （一） 二月至四月是无产阶级文化大革命的关键时刻。这三
Text/Section0828.xhtml:   批评“二月逆流” 〔1〕 * （一九六七年二月十八日） 我听说二月十六日下午有人在怀仁堂闹事，反对中央文革小组。反对
Text/Section0829.xhtml:   论革命的“三结合” * （一九六七年三月、四月、十月） （一）一九六七年三月七日——论革命的“三结合” 〔1〕 在需
Text/Section0830.xhtml:   关于两条路线斗争 的基本问题 * （一九六七年三月） 我们党内两条路线斗争，基本问题是在无产阶级夺取政权之以后，即新
Text/Section0831.xhtml:   是义和团侵略了 帝国主义了吗？ * （一九六七年三月二十三日） 究竟是中国组织义和团跑到欧美、日本帝国主义国家去造反
Text/Section0832.xhtml:   中央军委 关于支左工作十条命令 * （一九六七年四月六日） 一、对群众组织，无论是革命的，或者被反动分子控制的，或者
Text/Section0833.xhtml:   接见阿尔巴尼亚 军事代表团时的谈话 * （一九六七年五月一日） 我在一九六二年七千人大会 〔1〕 上曾经讲过：“马列
Text/Section0834.xhtml:   论无产阶级专政下继续革命 * （一九六七年五月、十一月） （一） 〔1〕 无产阶级专政条件下还要不要革命？ 在社会主
Text/Section0835.xhtml:   在听了氢弹会议 汇报后的讲话 * （一九六七年六月、七月） （一）（一九六七午六月十八日） 有些外国人对我们《北京周
Text/Section0836.xhtml:   视察华北、中南和 华东地区时的重要指示 * （一九六七年十月） （一）关于形势 七、八、九三个月，形势发展很快。全国
Text/Section0837.xhtml:   接见刚果（布） 〔1〕 总理 努马扎莱的谈话 （一九六七年十月三日） 努马：我看到中国无产阶级文化大革命的伟大胜利，
Text/Section0838.xhtml:   关于“九大”和整党问题的谈话 * （一九六七年十一月五日） 今天还是谈九大和整党问题。 关于九大问题，第一批反映已经
Text/Section0839.xhtml:   祝贺越南南方民族解放阵线 成立七周年的电报 * （一九六七年十二月十九日） 阮友寿 〔1〕 主席： 在越南南方民族解
Text/Section0840.xhtml:   关于国家机关的改革 和革命委员会的基本经验 * （一九六八年二月、三月、八月） （一）（一九六八年二月） 〔1〕 大
Text/Section0841.xhtml:   支持美国黑人 抗暴斗争的声明 （一九六八年四月十六日） 最近，美国黑人牧师马丁·路德·金 〔1〕 突然被美帝国主义者
Text/Section0842.xhtml:   学校教育革命的方向 ——要和工农兵结合 （一九六八年七、八、九月） （一）（一九六八年七月二十二日） 〔1〕 大学还
Text/Section0843.xhtml:   接见首都红代会 “五大领袖” 〔1〕 时的谈话 * （一九六八年七月二十八日） （一） 毛泽东：（聂元梓、谭厚兰、韩
Text/Section0844.xhtml:   医学教育革命的方向 ——赤脚医生就是好 * （一九六八年九月十四日） （一） 这个从城里下到农村的医生证明，从旧学校
Text/Section0845.xhtml:   广大干部下放劳动 是一种重新学习的极好机会 * （一九六八年九月三十日） 此件似可在人民日报发表。广大干部下放劳动，
Text/Section0846.xhtml:   在中共八届扩大的 十二中全会上的讲话 （一九六八年十月十三日、三十一日） （一）（一九六八年十月一十三日开幕式上的讲
Text/Section0847.xhtml:   赞成越南又打又谈的方针 * （一九六八年十一月十七日） 因为最近没有什么仗打，所以你们想同美国谈判。可以谈，要把它谈
Text/Section0848.xhtml:   关于知识青年 到农村去的号召 * （一九六八年十二月十一日） 知识青年到农村去，接受贫下中农的再教育，很有必要。要说
Text/Section0849.xhtml:   对中国共产党 第九次全国代表大会的讲话 * （一九六九年四月一日、十一日、二十八日） （一）（一九六九年四月一日）开
Text/Section0850.xhtml:   关于战备疏散的指示 * （一九六九年十月十四日） 中央领导同志都集中在北京不好，一颗原子弹就会炸死很多人，应该分散些
